image_path,xmin,ymin,xmax,ymax,label
F:\CÓDIGO\model\fotos\34.jpg,314,176,802,500,cecropia_hololeuca
F:\CÓDIGO\model\fotos\senna_alata (85).jpg,1367,490,5089,1574,fedegoso
F:\CÓDIGO\model\fotos\senna_alata (59).jpg,1311,624,3972,2452,fedegoso
F:\CÓDIGO\model\fotos\27.jpeg,193,139,879,417,cecropia_hololeuca
F:\CÓDIGO\model\fotos\18.jpeg,193,136,714,517,cecropia_hololeuca
F:\CÓDIGO\model\fotos\mud18.jpeg,238,702,650,1133,mudafedegoso
F:\CÓDIGO\model\fotos\mud25.jpeg,180,546,731,1126,mudafedegoso
F:\CÓDIGO\model\fotos\senna_alata (90).jpg,1306,390,4122,2013,fedegoso
F:\CÓDIGO\model\fotos\mud19.jpeg,236,275,1053,1090,mudafedegoso
F:\CÓDIGO\model\fotos\17.jpg,442,274,777,436,cecropia_hololeuca
F:\CÓDIGO\model\fotos\29.jpg,50,188,732,428,cecropia_hololeuca
F:\CÓDIGO\model\fotos\mud5.jpeg,316,446,765,748,mudafedegoso
F:\CÓDIGO\model\fotos\9.jpg,201,255,873,445,cecropia_hololeuca
F:\CÓDIGO\model\fotos\mud1.jpeg,395,357,1021,1120,mudafedegoso
F:\CÓDIGO\model\fotos\mud7.jpeg,465,570,807,970,mudafedegoso
F:\CÓDIGO\model\fotos\senna_alata (101).jpg,2411,835,3811,1502,fedegoso
F:\CÓDIGO\model\fotos\senna_alata (89).jpg,1845,585,3511,1540,fedegoso
F:\CÓDIGO\model\fotos\mud13.jpeg,404,702,789,1165,mudafedegoso
F:\CÓDIGO\model\fotos\5.jpeg,155,269,532,582,cecropia_hololeuca
F:\CÓDIGO\model\fotos\30.jpeg,169,201,797,486,cecropia_hololeuca
F:\CÓDIGO\model\fotos\12.jpeg,325,57,784,356,cecropia_hololeuca
F:\CÓDIGO\model\fotos\mud17.jpeg,453,497,1133,1090,mudafedegoso
F:\CÓDIGO\model\fotos\senna_alata (98).jpg,2556,1202,2884,1374,fedegoso
F:\CÓDIGO\model\fotos\14.jpeg,178,430,848,569,cecropia_hololeuca
F:\CÓDIGO\model\fotos\senna_alata (58).jpg,1856,1074,3372,2763,fedegoso
F:\CÓDIGO\model\fotos\23.jpeg,303,214,509,467,cecropia_hololeuca
F:\CÓDIGO\model\fotos\31.jpeg,137,344,709,752,cecropia_hololeuca
F:\CÓDIGO\model\fotos\senna_alata (97).jpg,2400,1579,3228,2329,fedegoso
F:\CÓDIGO\model\fotos\mud8.jpeg,431,229,753,714,mudafedegoso
F:\CÓDIGO\model\fotos\mud20.jpeg,397,499,916,780,mudafedegoso
F:\CÓDIGO\model\fotos\7.jpeg,337,148,795,450,cecropia_hololeuca
F:\CÓDIGO\model\fotos\mud24.jpeg,319,706,704,1182,mudafedegoso
F:\CÓDIGO\model\fotos\20.jpeg,463,175,915,589,cecropia_hololeuca
F:\CÓDIGO\model\fotos\38.jpeg,401,344,843,606,cecropia_hololeuca
F:\CÓDIGO\model\fotos\senna_alata (105).jpg,634,413,4856,2302,fedegoso
F:\CÓDIGO\model\fotos\13.jpeg,99,197,811,393,cecropia_hololeuca
F:\CÓDIGO\model\fotos\mud4.jpeg,324,612,811,1126,mudafedegoso
